L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
2374,14288,13063,1442,130,542,4843,9412,339,1611,89,1870,91,20943,1338,1,benign
196512,8241777,3194906,44544,2757,36192,9415759,9092356,28679,959889,1703,100003,1246,35357098,1390,197,benign
1939,14450,13371,927,9,428,4901,11687,370,1303,38,2427,112,21199,9,0,benign
418014,15087683,8441200,28870,544,280471,15944318,15560363,150059,901368,3428,227359,2128,66607689,2993,36,benign
1128,8888,5785,3402,636,902,1834516,5930,65366,364691,42737,240034,65,8593550,24312,2827,benign
3314,31091,20318,1669,281,1602,16570,18590,671,4049,392,4738,88,89969,308,75,benign
406429,10808004,4632421,134879,20868,123141,7242755,9879961,134782,926052,3189,567450,6513,29739346,1533,410,benign
3552,27549,15918,5649,1958,2721,60194,20053,2187,12320,4819,6413,513,332079,1227,182,benign
3003,13765,8247,4294,1538,2218,60412,9795,2129,13358,5289,6701,373,333836,1270,202,benign
490,5978,3787,858,11,358,12855,4903,644,3010,245,4668,62,55582,57,6,benign
245301,9658016,6547336,251164,10763,112509,8193917,9609500,82555,851938,49921,390893,12174,37239723,26936,3569,benign
516,2467,1660,576,178,363,730140,1666,10340,75708,9026,30455,77,3537968,7680,1032,benign
2684,83553,27970,3758,1255,1602,60174,59941,2185,13546,5832,6817,310,332353,1383,211,benign
2219,14222,13035,1029,2,484,7058,10083,482,1742,0,2579,99,33926,0,0,benign
114752,14513360,7629979,30617,632,34701,13281188,13545332,30943,918238,632,34486,1543,55572381,622,7,benign
449,7524,3794,583,2,395,7005,7015,327,2137,445,1822,63,33583,268,1,benign
2414,14852,13769,1683,342,799,7031,12217,454,1727,43,2333,165,33668,7,35,benign
3168,27540,18615,2082,774,1341,18140,16184,772,4381,409,4014,99,84919,315,77,benign
1585,10136,26729,2527,930,3643,22508,8084,931,12464,122,5038,219,87117,17,6,benign
717158,10180155,6809383,219561,2686,166916,7501063,6819758,215350,975441,2368,350976,13994,41173824,1950,158,benign
332487,12093014,4593368,117603,16101,59778,8261151,11055749,88443,896851,21393,195818,2765,36330371,17859,2528,benign
495,5931,3789,779,268,364,4916,4842,336,2087,1520,1835,71,21206,616,1142,benign
1753,5966,9045,759,6,335,4926,4893,438,1746,10,2420,76,21117,7,1,benign
849,7554,4354,4009,1020,641,11239510,6082,97166,961140,22399,179411,174,47951741,13638,613,benign
727850,13930914,7726758,191950,2296,149845,5755890,9379949,82424,825455,3392,403568,15063,30380684,2721,166,benign
204568,3773257,1677417,144039,16268,98943,12066458,3285680,186336,998660,2496,82232,6781,53736286,1249,825,benign
466,5976,3814,615,17,459,7045,5675,448,2816,684,2717,122,33822,237,329,benign
399,4960,3296,805,3,297,7015,3942,402,1653,1,2247,61,33573,1,0,benign
114219,5883850,3757345,73823,8394,33258,393225,5803316,111197,67154,9755,314226,2023,1806922,5965,1763,benign
209706,22472532,7093798,80045,13182,71584,12575985,4014319,61147,991627,48033,184161,6044,89483369,22807,16228,benign
2094,15049,13858,1042,3,463,12267,12925,670,2857,732,3693,123,57966,86,0,benign
8175,144943,85701,11784,115,5174,2583205,116258,93477,245740,21227,156492,723,11896142,16948,1547,benign
454,5940,3786,559,5,321,5247,4861,300,2694,0,2128,68,21118,0,0,benign
